LMUSR_USER,LMUSR_LEVEL,LMUSR_SCOPE
AREA3,1,Area  003
AREA9,1,Area  009
AREA6,1,Area  006
AREA14,1,Area  014
AREA8,1,Area  008
AREA15,1,Area  015
AREA16,1,Area  016
AREA21,1,Area  021
AREA1,1,Area  001
AREA22,1,Area  022
AREA4,1,Area  004
AREA5,1,Area  005
AREA23,1,Area  023
AREA999,1,Area  999
AREA12,1,Area  012
AREA13,1,Area  013
AREA24,1,Area  024
CORP2,0,
DISTRITO36,2,Distrito  036
DISTRITO57,2,Distrito  057
DISTRITO60,2,Distrito  060
DISTRITO61,2,Distrito  061
DISTRITO62,2,Distrito  062
DISTRITO49,2,Distrito  049
DISTRITO59,2,Distrito  059
DISTRITO1,2,Distrito  001
DISTRITO64,2,Distrito  064
DISTRITO55,2,Distrito  055
DISTRITO37,2,Distrito  037
DISTRITO56,2,Distrito  056
DISTRITO50,2,Distrito  050
DISTRITO52,2,Distrito  052
DISTRITO51,2,Distrito  051
DISTRITO54,2,Distrito  054
DISTRITO53,2,Distrito  053
DISTRITO58,2,Distrito  058
DISTRITO20,2,Distrito  020
DISTRITO21,2,Distrito  021
DISTRITO22,2,Distrito  022
DISTRITO23,2,Distrito  023
DISTRITO24,2,Distrito  024
DISTRITO25,2,Distrito  025
DISTRITO26,2,Distrito  026
DISTRITO5,2,Distrito  005
DISTRITO6,2,Distrito  006
DISTRITO7,2,Distrito  007
DISTRITO63,2,Distrito  063
DISTRITO2,2,Distrito  002
DISTRITO3,2,Distrito  003
DISTRITO4,2,Distrito  004
DISTRITO10,2,Distrito  010
DISTRITO12,2,Distrito  012
DISTRITO13,2,Distrito  013
DISTRITO14,2,Distrito  014
DISTRITO15,2,Distrito  015
DISTRITO19,2,Distrito  019
DISTRITO9,2,Distrito  009
DISTRITO999,2,Distrito  999
DISTRITO27,2,Distrito  027
DISTRITO30,2,Distrito  030
DISTRITO31,2,Distrito  031
DISTRITO32,2,Distrito  032
DISTRITO33,2,Distrito  033
DISTRITO34,2,Distrito  034
DISTRITO35,2,Distrito  035
DISTRITO29,2,Distrito  029
DISTRITO8,2,Distrito  008
CORP1,0,
OROSUL,0,
DIVISION1,1,Area  003
DIVISION1,1,Area  005
DIVISION1,1,Area  009
DIVISION1,1,Area  012
