BSC_FECHA,SYR4_GROSS_SALES,SYR4_GROSS_SALES_CMP,SYR4_GROSS_SAL_LY,SYR5_GROSS_SALES,SYR5_GROSS_SAL_LY,SMG_OVERALL,SMG_COUNT,SMG_DEF_ZONE,SYR_GROSS_SALES,SYR_NET_SALES,SYR_NET_SALES_CMP_LY,SYR_NET_SALES_LW,SYR_NET_SALES_LY,SYR_NET_SALES_CMP_LY2,SYR_TRANS,SYR_TRANS_CMP_LY,SYR_TRANS_LY,SYR_CREW_HR,SYR_MNGR_HR,SYR_GUID_HR,SYR_CASH_MM,SYR_LTN_SAL,SYR_EMPL_MEAL,SYR_MNGR_MEAL,SYR_LABOR,SYR_LABOR_SALES_REF,SYR_MNGR_VOID_AMT,SYR_REG_VOID_AMT,SYR_COUPONS,SYR_DISCOUNTS,SYR_SERVICE_TIME,SYR_NET_SALES_HR,SYR_TRANS_HR,SYR2_GROSS_SALES,SYR2_NET_SALES,UNO,SYR3_GROSS_SALES,SYR3_GROSS_SALES_CMP,SYR3_GROSS_SAL_LY,FECHA_REF,DIVISION,AREA,DISTRICT,STORE,INFS_VTA_ACTUAL
2.- Fri 03/12/2021,20537.17,20537.17,21499,223876.33,236590,,,,4276.08,4221.84,4221.84,3959,4496,4221.84,444,444,538,78.77,0,96.87,2,166,7.6,0,882,4276.08,0,47.83,36.64,10,243.18,4221.84,444,0,0,1,20537.17,20537.17,21499,21P03W1 - 03/12/2021,DIVISION 30,Area  021,Distrito  031,02455 - Medley (Are-D31),4221.84
2.- Fri 03/12/2021,28922.47,28922.47,27685,368730.75,342676,,,,6951.32,6774.48,6774.48,5812,6097,6774.48,732,732,696,121.88,0,121.11,-1,836,11.99,4,1236,6951.32,0,27.48,100.31,60.54,221.89,6774.48,732,0,0,1,28922.47,28922.47,27685,21P03W1 - 03/12/2021,DIVISION 30,Area  013,Distrito  003,02502 - Jog Rd (Are-D3),6774.48
2.- Fri 03/12/2021,17196.96,17196.96,26716,225266.98,268273,,,,4314.81,4188.42,4188.42,4139,5339,4188.42,452,452,651,79.25,0,97.7,1,607,10.57,32.17,783,4314.81,0,18.54,33.28,50.37,167.14,4188.42,452,0,0,1,17196.96,17196.96,26716,21P03W1 - 03/12/2021,DIVISION 30,Area  021,Distrito  063,02522 - Fiu (Are-D63),4188.42
2.- Fri 03/12/2021,22072.02,22072.02,22900,299494.05,288179,1,2,0,6088.78,5999.25,5999.25,5176,4617,5999.25,552,552,517,107.05,0,116.86,-19,688,7.6,11.49,1117,6088.78,0,61.37,24.25,46.19,344.22,5999.25,552,0,0,1,22072.02,22072.02,22900,21P03W1 - 03/12/2021,DIVISION 30,Area  024,Distrito  032,02526 - Weston (Are-D32),5999.25
2.- Fri 03/12/2021,22861.82,22861.82,27841,300366.53,330904,,,,5411.15,5311.89,5311.89,5347,5759,5311.89,598,598,697,107.75,0,106.09,-24,592,2,32.96,1020,5411.15,17.11,30.65,28.38,35.92,208.32,5311.89,598,0,0,1,22861.82,22861.82,27841,21P03W1 - 03/12/2021,DIVISION 30,Area  024,Distrito  029,02530 - S. University (Are-D29),5311.89
2.- Fri 03/12/2021,32229.21,32229.21,32895,389909.41,377507,,,,6541.24,6445.47,6445.47,6463,6862,6445.47,728,728,825,97.1,0,114.1,-19,739,6.49,18.17,1085,6541.24,0,38.1,36.78,34.33,222.61,6445.47,728,0,0,1,32229.21,32229.21,32895,21P03W1 - 03/12/2021,DIVISION 30,Area  022,Distrito  001,02563 - Blue Heron (Are-D1),6445.47
2.- Fri 03/12/2021,20142.18,20142.18,20344,261634.52,245815,,,,4429.42,4354.59,4354.59,3934,4495,4354.59,472,472,532,98.93,0,95.51,-9,53,10.78,6.67,1101,4429.42,0,4.08,41.62,15.76,186.55,4354.59,472,0,0,1,20142.18,20142.18,20344,21P03W1 - 03/12/2021,DIVISION 30,Area  022,Distrito  022,02564 - Hobe Sound (Are-D22),4354.59
2.- Fri 03/12/2021,20717.93,20717.93,20908,266584.81,268644,,,,4997.65,4917.1,4917.1,4601,4950,4917.1,562,562,619,94.48,0,108.26,-4,582,0,19.02,856,4997.65,0,22.64,33.8,27.73,248.89,4917.1,562,0,0,1,20717.93,20717.93,20908,21P03W1 - 03/12/2021,DIVISION 30,Area  024,Distrito  029,02566 - New Tamarac (Are-D29),4917.1
2.- Fri 03/12/2021,25729.05,25729.05,26673,307696.07,314618,,,,6098.69,5977.55,5977.55,5470,5762,5977.55,635,635,708,132.67,0,122.58,2,1061,3.69,19.56,1298,6098.69,0,18.66,59.39,38.5,183.75,5977.55,635,0,0,1,25729.05,25729.05,26673,21P03W1 - 03/12/2021,DIVISION 30,Area  022,Distrito  020,02568 - Belvedere & Austr. (Are-D20),5977.55
2.- Fri 03/12/2021,24481.54,24481.54,25149,325621.49,323673,,,,6216.54,6127.11,6127.11,5710,5575,6127.11,617,617,633,103.5,0,110.67,100,872,0,3.89,1080,6216.54,0,36.04,61.49,24.05,218.44,6127.11,617,0,0,1,24481.54,24481.54,25149,21P03W1 - 03/12/2021,DIVISION 30,Area  013,Distrito  024,02586 - Forest Hill & Jog (Are-D24),6127.11
